"","x"
"1",5726.75807408593
"2",2591.6202091151
"3",12260.5762110144
"4",2085.33894858164
"5",2356.92917076809
"6",6325.69817456677
"7",5295.54927140093
"8",1739.45241724715
"9",2465.47914105215
"10",12590.2453102729
"11",9659.59217304564
"12",2478.2636633542
"13",5969.52600124469
"14",5727.56881443993
"15",6429.92584819929
"16",5945.83698682608
"17",6019.1475600952
"18",5980.40742477721
"19",5326.23509789525
"20",2780.32751993948
"21",5672.7732475798
"22",8666.89087501941
"23",8813.13240269423
"24",5465.57203667613
"25",9825.12620420166
"26",9032.32339138269
"27",8582.57357990764
"28",15806.1730696921
"29",5869.48584274544
"30",2678.96705726375
"31",2519.96113816739
"32",5853.88540944107
"33",6305.54055702472
"34",2894.63167304531
"35",16309.3603159191
"36",5589.93673216493
"37",9613.22112723615
"38",6082.34290520752
"39",2507.12143055523
"40",2597.53202665292
"41",19117.7692521586
"42",2765.13158807498
"43",2438.93424505151
"44",13375.5331159131
"45",5945.661576077
"46",5081.51238588079
"47",2619.28049186594
"48",5821.71563206465
"49",2362.15727924297
"50",2748.98190722105
"51",2550.67053144925
"52",2578.2184934442
"53",5513.04731574503
"54",5276.95156513327
"55",16897.7204524851
"56",2446.22285408266
"57",5918.94899360785
"58",13031.1317563443
"59",1971.17674673836
"60",2491.98818184493
"61",5860.99587688294
"62",12910.1274360081
"63",8743.80574818644
"64",2300.48780803095
"65",2389.76017612109
"66",2139.33642437434
"67",9384.93690988358
"68",9146.58204146875
"69",5895.81392994323
"70",2710.94825990535
"71",2949.70348142338
"72",9124.2286358138
"73",9652.29679477954
"74",6099.9729092041
"75",2342.08213445916
"76",5910.9639621639
"77",2550.2148089293
"78",2487.27930025311
"79",2334.41460722464
"80",5528.51270511745
"81",2500.86649734603
"82",5812.92282993598
"83",5962.99812976909
"84",2279.49544788145
"85",5052.02814035863
"86",8173.51865547225
"87",10255.8883290977
"88",2159.56801222445
"89",9427.19261153211
"90",19980.1507157188
"91",2692.72852172749
"92",5638.72377137242
"93",6225.72634662191
"94",5576.77437170693
"95",2549.74884999192
"96",19489.4152744763
"97",2428.63454716163
"98",9175.33645410478
"99",16873.7775848351
"100",2500.70629717327
"101",5883.17789042765
"102",6065.83062101899
"103",2342.1957278264
"104",2536.01102687646
"105",5852.11568531387
"106",2619.05280511609
"107",6603.29507774454
"108",2483.52896847243
"109",8725.37107871845
"110",19522.4165370628
"111",2470.32422620747
"112",9193.20201852004
"113",2711.04073260047
"114",2705.35809045328
"115",5908.0223383734
"116",2475.82089216119
"117",2526.34933757984
"118",5733.97038557239
"119",9118.2025634525
"120",2722.98720440264
"121",5796.14927230521
"122",2644.96561591581
"123",5956.44088909181
"124",5640.81212852436
"125",5166.14919898698
"126",5791.16448537367
"127",2614.0415824901
"128",16995.3525415367
"129",8884.13230602865
"130",2034.21886779921
"131",5955.89116651685
"132",5448.3893346102
"133",5620.27288219182
"134",6615.5979227077
"135",2873.23002509676
"136",5880.65832759252
"137",2675.85009332063
"138",6059.94917891687
"139",19537.8338799052
"140",5810.3574105057
"141",8996.5641766435
"142",5862.35628407399
"143",6015.53313875476
"144",5307.92687317733
"145",5505.16261648269
"146",2559.01878986999
"147",2588.3888638296
"148",8777.11243117037
"149",9093.22205854663
"150",2101.99079210643
"151",6065.65732506262
"152",5519.4520295219
"153",5687.93100301855
"154",9770.63862418909
"155",16379.0310899277
"156",18759.51241022
"157",5586.85326240375
"158",5694.88286449393
"159",5684.0923764047
"160",9396.46469780888
"161",5709.21232422969
"162",2789.48031876403
"163",12747.5817868817
"164",2462.72234796894
"165",4850.71515368283
"166",2465.29839357452
"167",5455.57620841411
"168",8969.78812825206
"169",12903.739859881
"170",5883.21384955683
"171",2066.49026304626
"172",2905.55073443836
"173",8901.63950105902
"174",6492.06323709059
"175",2399.84274188169
"176",2325.02202992781
"177",6062.47070319457
"178",12876.8447193304
"179",2528.66835278052
"180",5847.33608724754
"181",9934.39823954173
"182",2175.4664010482
"183",6191.32003624945
"184",2870.72332161312
"185",2678.20990799009
"186",2562.69824022296
"187",6082.24643183092
"188",15728.5958695647
"189",6172.49036651606
"190",2872.89581262981
"191",5828.4559663655
"192",6040.01404488898
"193",6314.46957139676
"194",2278.01183949147
"195",5846.29154775133
"196",2539.48324454637
"197",3452.26326386037
"198",19843.4823368405
"199",5535.36536540613
"200",2658.37990661946
"201",2727.71664888057
"202",6043.8042368261
"203",2620.41337591801
"204",6051.70831296766
"205",5875.35489224582
"206",16429.1493213983
"207",19441.0565992065
"208",5253.5799851985
"209",5652.29032396197
"210",5673.12323793689
"211",3147.0196769959
"212",2583.88459008606
"213",2341.09203201979
"214",6191.72867389421
"215",8404.56763933094
"216",8690.14559047053
"217",5972.60861306389
"218",2674.44675934773
"219",2737.93412014671
"220",5703.75391845637
"221",5606.81373911407
"222",5817.27944177387
"223",12608.319832557
"224",5662.91682514966
"225",5456.11208248412
"226",5995.00909443313
"227",3229.47776198479
"228",2389.07216231516
"229",2527.25762602639
"230",6060.59245779186
"231",19382.2383381819
"232",5761.02513832874
"233",6082.52901652162
"234",9926.49580953235
"235",2818.99537458484
"236",2538.28143507171
"237",2929.28116473116
"238",5492.99336652197
"239",5493.60511199245
"240",5761.73681448585
"241",5668.86509220847
"242",12950.1510207387
"243",13367.8505495915
"244",6153.70455029112
"245",9677.39836657122
"246",2779.86552081749
"247",6557.75881724035
"248",5173.42390015462
"249",9612.8188647071
"250",2658.00222648615
"251",9217.93603979495
"252",16466.0497365669
"253",5709.22837966444
"254",16254.4648814872
"255",2519.17398487607
"256",2047.33498837403
"257",2392.03544085808
"258",5159.33668915534
"259",16087.3436500947
"260",2486.46944037824
"261",12821.336226624
"262",16670.5555282349
"263",6198.82130371857
"264",1935.04108360355
"265",2507.26512687962
"266",2556.55255467734
